Date,Price
2011-01-05,8.326689
2011-01-06,8.345183
2011-01-07,8.332855
2011-01-10,8.332855
2011-01-11,8.369837
2011-01-12,8.388323
2011-01-13,8.456117
2011-01-14,8.560889
2011-01-17,8.610203
2011-01-18,8.573223
2011-01-19,8.536242
2011-01-20,8.456117
2011-01-21,8.388323
2011-01-24,8.530079
2011-01-25,8.585554
2011-01-26,8.648073
2011-01-27,8.67283
2011-01-28,8.635691
2011-01-31,8.648073
2011-02-01,8.567599
2011-02-02,8.635691
2011-02-03,8.641886
2011-02-04,8.623311
2011-02-07,8.623311
2011-02-08,8.629497
2011-02-09,8.641886
2011-02-10,8.660449
2011-02-11,8.709978
2011-02-14,8.740928
2011-02-15,8.753311
2011-02-16,8.87093
2011-02-17,8.945213
2011-02-18,8.994736
2011-02-22,8.883308
2011-02-23,8.847247
2011-02-24,8.760201
2011-02-25,8.890771
2011-02-28,9.002681
2011-03-01,8.95294
2011-03-02,8.971594
2011-03-03,8.96538
2011-03-04,8.934291
2011-03-07,8.859682
2011-03-08,8.940511
2011-03-09,8.87212
2011-03-10,8.729115
2011-03-11,8.778861
2011-03-14,8.809946
2011-03-15,8.75399
2011-03-16,8.785074
2011-03-17,8.884551
2011-03-18,8.859682
2011-03-21,8.915637
2011-03-22,9.021327
2011-03-23,9.089724
2011-03-24,9.145682
2011-03-25,9.121332
2011-03-28,9.208739
2011-03-29,9.296144
2011-03-30,9.352332
2011-03-31,9.414764
2011-04-01,9.321111
2011-04-04,9.239952
2011-04-05,9.239952
2011-04-06,9.208739
2011-04-07,9.252442
2011-04-08,9.308627
2011-04-11,9.289891
2011-04-12,9.221224
2011-04-13,9.239952
2011-04-14,9.233708
2011-04-15,9.227462
2011-04-18,9.227462
2011-04-19,9.202491
2011-04-20,9.277411
2011-04-21,9.283659
2011-04-25,9.359506
2011-04-26,9.39712
2011-04-27,9.403396
2011-04-28,9.409661
2011-04-29,9.378316
2011-05-02,9.415932
2011-05-03,9.472352
2011-05-04,9.409661
2011-05-05,9.478621
2011-05-06,9.409661
2011-05-09,9.409661
2011-05-10,9.39712
2011-05-11,9.441005
2011-05-12,9.478621
2011-05-13,9.516232
2011-05-16,9.522502
2011-05-17,9.497427
2011-05-18,9.472352
2011-05-19,9.453544
2011-05-20,9.447269
2011-05-24,9.472352
2011-05-25,9.441005
2011-05-26,9.460518
2011-05-27,9.510871
2011-05-30,9.498289
2011-05-31,9.49199
2011-06-01,9.372397
2011-06-02,9.384985
2011-06-03,9.435336
2011-06-06,9.284275
2011-06-07,9.265394
2011-06-08,9.158389
2011-06-09,9.183561
2011-06-10,9.202445
2011-06-13,9.202445
2011-06-14,9.315747
2011-06-15,9.240212
2011-06-16,9.221329
2011-06-17,9.328337
2011-06-20,9.378688
2011-06-21,9.397573
2011-06-22,9.359812
2011-06-23,9.340924
2011-06-24,9.392122
2011-06-27,9.461642
2011-06-28,9.442685
2011-06-29,9.430038
2011-06-30,9.449005
2011-07-04,9.449005
2011-07-05,9.467964
2011-07-06,9.467964
2011-07-07,9.493242
2011-07-08,9.474284
2011-07-11,9.423719
2011-07-12,9.480607
2011-07-13,9.430038
2011-07-14,9.417402
2011-07-15,9.442685
2011-07-18,9.449005
2011-07-19,9.524845
2011-07-20,9.543809
2011-07-21,9.600694
2011-07-22,9.677477
2011-07-25,9.664785
2011-07-26,9.614019
2011-07-27,9.493447
2011-07-28,9.46172
2011-07-29,9.493447
2011-08-02,9.366532
2011-08-03,9.258652
2011-08-04,9.074615
2011-08-05,8.947703
2011-08-08,8.50349
2011-08-09,8.795396
2011-08-10,8.890589
2011-08-11,9.214228
2011-08-12,9.277688
2011-08-15,9.303066
2011-08-16,9.150769
2011-08-17,9.138077
2011-08-18,8.973084
